User,City,Year,Month,Day,Time,Amount,Is Fraud?
1,Imphal,2025,9,1,6:21,1033678.356,No
1,Imphal,2025,9,1,6:42,296636.1632,No
1,Imphal,2025,9,2,6:22,927681.8056,No
1,Kharagpur,2025,9,2,17:45,994054.918,No
1,Kharagpur,2025,9,3,6:23,807192.6364,No
1,Kharagpur,2025,9,3,13:53,664424.9196,No
1,Ratlam,2025,9,4,5:51,723397.5456,No
1,Kharagpur,2025,9,4,6:09,952041.74,No
1,Kharagpur,2025,9,5,6:14,475789.6048,No
1,Kharagpur,2025,9,5,9:35,440174.764,No
1,Ghaziabad,2025,9,5,20:18,586411.4588,Yes
1,Ratlam,2025,9,5,20:41,415583.5644,No
1,Kharagpur,2025,9,6,6:16,850824.6708,No
1,Ratlam,2025,9,7,6:16,902319.722,No
1,Imphal,2025,9,7,6:34,349210.452,No
1,Kharagpur,2025,9,7,9:39,226177.3656,No
1,Imphal,2025,9,8,6:10,1136668.458,No
1,Vijayawada,2025,9,8,6:38,213920.31,Yes
1,Ratlam,2025,9,8,13:48,590265.8788,No
1,Kharagpur,2025,9,8,22:01,173911.4304,No
1,Kharagpur,2025,9,9,6:54,289081.5,No
1,Tiruvottiyur,2025,9,9,9:40,504929.02,Yes
1,Kharagpur,2025,9,9,13:19,434932.7528,No
1,Ratlam,2025,9,9,13:31,20890.9564,No
1,Ratlam,2025,9,9,20:02,1117010.916,No
1,Imphal,2025,9,10,6:20,1233414.4,No
1,Ratlam,2025,9,10,6:22,787689.2712,No
1,Ratlam,2025,9,10,6:31,283145.6932,No
1,Ratlam,2025,9,10,21:39,226100.2772,No
1,Imphal,2025,9,11,6:28,1251838.528,No
1,Kharagpur,2025,9,11,6:33,265184.096,No
1,Kharagpur,2025,9,11,13:06,478410.6104,No
1,Ratlam,2025,9,11,13:17,-763175.16,No
1,Kharagpur,2025,9,11,13:23,763175.16,No
1,Imphal,2025,9,11,19:30,618094.7912,No
1,Farrukhabad,2025,9,12,6:21,941249.364,Yes
1,Ratlam,2025,9,12,6:26,715071.9984,No
1,Imphal,2025,9,12,6:50,404868.2768,No
1,Ratlam,2025,9,12,11:43,8710.9892,No
1,Imphal,2025,9,13,6:22,977403.8236,No
1,Ratlam,2025,9,13,6:37,342349.5844,No
1,Ratlam,2025,9,14,6:09,1267102.031,No
1,Kharagpur,2025,9,14,13:08,98364.7984,No
1,Imphal,2025,9,15,5:34,847509.8696,No
1,Ratlam,2025,9,15,6:18,973549.4036,No
1,Kharagpur,2025,9,15,6:55,314597.7604,No
1,Ratlam,2025,9,15,13:54,627114.134,No
1,Imphal,2025,9,16,6:00,889137.6056,No
1,Kharagpur,2025,9,16,6:45,341116.17,No
1,Ratlam,2025,9,17,6:09,926525.4796,No
1,Ratlam,2025,9,17,6:24,1231255.925,No
1,Kalyan-Dombivali,2025,9,18,6:19,993284.034,Yes
1,Imphal,2025,9,18,20:01,711525.932,No
1,Ratlam,2025,9,19,6:25,1295933.092,No
1,Imphal,2025,9,19,9:42,409262.3156,No
1,Imphal,2025,9,20,6:01,807655.1668,No
1,Imphal,2025,9,20,6:17,922671.0596,No
1,Nagpur,2025,9,21,6:27,1121636.22,Yes
1,Kharagpur,2025,9,21,6:47,372645.3256,No
1,Jamnagar,2025,9,21,14:23,21507.6636,Yes
1,Kharagpur,2025,9,22,6:50,366246.9884,No
1,Imphal,2025,9,22,9:29,400705.5032,No
1,Imphal,2025,9,22,9:37,639062.836,No
1,Kharagpur,2025,9,22,20:16,588724.1108,No
1,Ratlam,2025,9,23,6:01,1039845.428,No
1,Bilaspur,2025,9,23,6:46,271967.8752,Yes
1,Ratlam,2025,9,23,20:26,621717.946,No
1,Kharagpur,2025,9,24,6:07,868555.0028,No
1,Kharagpur,2025,9,25,6:19,1250836.378,No
1,Imphal,2025,9,25,6:36,303574.1192,No
1,Ratlam,2025,9,25,13:01,429844.9184,No
1,Imphal,2025,9,25,13:10,770884,No
1,Ratlam,2025,9,25,13:14,-770884,No
1,Kharagpur,2025,9,26,6:25,719774.3908,No
1,Kharagpur,2025,9,27,6:21,1539532.436,No
1,Kharagpur,2025,9,27,8:01,178690.9112,No
1,Ratlam,2025,9,27,9:42,444337.5376,No
1,Kharagpur,2025,9,28,5:36,604835.5864,No
1,Ratlam,2025,9,28,6:23,1092342.628,No
1,Ratlam,2025,9,28,9:32,427146.8244,No
1,Ratlam,2025,9,28,13:13,1182227.702,No
1,Gaya,2025,9,29,6:06,922054.3524,Yes
1,Bhilwara,2025,9,29,6:22,926988.01,Yes
1,Ratlam,2025,9,29,6:33,312824.7272,No
1,Imphal,2025,9,29,20:15,1279359.086,No
1,Imphal,2025,9,30,6:21,981489.5088,No
1,Imphal,2025,9,30,6:57,293938.0692,No
1,Ratlam,2025,9,30,12:52,87109.892,No
1,Imphal,2025,9,30,20:07,617092.642,No
1,Ratlam,2025,10,1,6:15,922979.4132,No
1,Imphal,2025,10,1,6:56,238203.156,No
1,Kharagpur,2025,10,1,11:34,268961.4276,No
1,Ratlam,2025,10,2,6:17,1074149.766,No
1,Imphal,2025,10,3,5:59,358152.7064,No
1,Imphal,2025,10,3,6:12,792006.2216,No
1,Imphal,2025,10,3,6:50,280910.1296,No
1,Ratlam,2025,10,4,6:20,885514.4508,No
1,Agartala,2025,10,5,9:34,409570.6692,Yes
1,Parbhani,2025,10,5,10:38,130048.1308,Yes
1,Ratlam,2025,10,6,6:14,1074535.208,No
2,Aligarh,2025,10,7,6:24,1032676.206,No
2,New Delhi,2025,10,8,6:24,770884,No
2,Kollam,2025,10,8,6:26,1192557.548,No
2,Madurai,2025,10,8,8:24,209834.6248,Yes
2,Mathura,2025,10,9,6:10,911570.33,Yes
2,Khammam,2025,10,9,6:44,239051.1284,Yes
2,Kollam,2025,10,9,8:16,409262.3156,No
2,New Delhi,2025,10,10,6:24,1095117.81,No
2,Kollam,2025,10,11,5:52,1331085.403,No
2,Kollam,2025,10,11,6:08,1229251.626,No
2,Aligarh,2025,10,11,6:57,290546.1796,No
2,New Delhi,2025,10,11,20:00,674292.2348,No
2,Aligarh,2025,10,12,6:29,1302485.606,No
2,Kollam,2025,10,13,6:21,1043854.024,No
2,New Delhi,2025,10,13,6:33,231265.2,No
2,Aligarh,2025,10,13,13:00,451892.2008,No
2,Aligarh,2025,10,13,13:15,-763175.16,No
2,New Delhi,2025,10,13,13:17,763175.16,No
2,Aligarh,2025,10,14,6:12,776665.63,No
2,Raipur,2025,10,14,6:12,8092894.409,Yes
2,New Delhi,2025,10,14,18:58,1595729.88,No
2,New Delhi,2025,10,15,6:03,763868.9556,No
2,New Delhi,2025,10,15,13:11,-678377.92,No
2,Purnia,2025,10,15,13:17,678377.92,Yes
2,Puducherry,2025,10,15,13:21,426298.852,Yes
2,New Delhi,2025,10,15,16:49,717076.2968,No
2,New Delhi,2025,10,16,11:47,1099897.291,No
2,Kollam,2025,10,16,11:54,-1595729.88,No
2,Aligarh,2025,10,16,14:09,28137.266,No
2,New Delhi,2025,10,16,20:01,4018155.762,No
2,New Delhi,2025,10,17,6:09,879193.202,No
2,Aligarh,2025,10,18,6:12,702275.324,No
2,Kollam,2025,10,18,11:32,14184.2656,No
2,Aligarh,2025,10,19,6:29,1003845.145,No
2,Aligarh,2025,10,19,6:47,185166.3368,No
2,Aligarh,2025,10,20,6:46,316216.6168,No
